ticker,name,url
BHARTIARTL,Bharti Airtel,https://www.screener.in/company/BHARTIARTL/consolidated/
BAJFINANCE,Bajaj Finance,https://www.screener.in/company/BAJFINANCE/consolidated/
MARUTI,Maruti Suzuki,https://www.screener.in/company/MARUTI/consolidated/
M&M,M & M,https://www.screener.in/company/M&M/consolidated/
ADANIPOWER,Adani Power,https://www.screener.in/company/ADANIPOWER/consolidated/
SHRIRAMFIN,Shriram Finance,https://www.screener.in/company/SHRIRAMFIN/consolidated/
ASIANPAINT,Asian Paints,https://www.screener.in/company/ASIANPAINT/consolidated/
HINDALCO,Hindalco Inds.,https://www.screener.in/company/HINDALCO/consolidated/
EICHERMOT,Eicher Motors,https://www.screener.in/company/EICHERMOT/consolidated/
TVSMOTOR,TVS Motor Co.,https://www.screener.in/company/TVSMOTOR/consolidated/
INDIGO,Interglobe Aviat,https://www.screener.in/company/INDIGO/consolidated/
ADANIENSOL,Adani Energy Sol,https://www.screener.in/company/ADANIENSOL/consolidated/
TORNTPHARM,Torrent Pharma.,https://www.screener.in/company/TORNTPHARM/consolidated/
IDEA,Vodafone Idea,https://www.screener.in/company/IDEA/consolidated/
ABB,A B B,https://www.screener.in/company/ABB/
CHOLAFIN,Cholaman.Inv.&Fn,https://www.screener.in/company/CHOLAFIN/consolidated/
POWERINDIA,Hitachi Energy,https://www.screener.in/company/POWERINDIA/
BHEL,B H E L,https://www.screener.in/company/BHEL/consolidated/
CUMMINSIND,Cummins India,https://www.screener.in/company/CUMMINSIND/consolidated/
POLYCAB,Polycab India,https://www.screener.in/company/POLYCAB/consolidated/
CGPOWER,CG Power & Ind,https://www.screener.in/company/CGPOWER/consolidated/
BSE,BSE,https://www.screener.in/company/BSE/consolidated/
MUTHOOTFIN,Muthoot Finance,https://www.screener.in/company/MUTHOOTFIN/consolidated/
INDIANB,Indian Bank,https://www.screener.in/company/INDIANB/consolidated/
CANBK,Canara Bank,https://www.screener.in/company/CANBK/consolidated/
ABCAPITAL,Aditya Birla Cap,https://www.screener.in/company/ABCAPITAL/consolidated/
HEROMOTOCO,Hero Motocorp,https://www.screener.in/company/HEROMOTOCO/consolidated/
GVT&D,GE Vernova T&D,https://www.screener.in/company/GVT&D/
PAYTM,One 97,https://www.screener.in/company/PAYTM/consolidated/
GMRAIRPORT,GMR Airports,https://www.screener.in/company/GMRAIRPORT/consolidated/
LAURUSLABS,Laurus Labs,https://www.screener.in/company/LAURUSLABS/consolidated/
NYKAA,FSN E-Commerce,https://www.screener.in/company/NYKAA/consolidated/
BHARATFORG,Bharat Forge,https://www.screener.in/company/BHARATFORG/consolidated/
MCX,Multi Comm. Exc.,https://www.screener.in/company/MCX/consolidated/
FEDERALBNK,Federal Bank,https://www.screener.in/company/FEDERALBNK/consolidated/
AUBANK,AU Small Finance,https://www.screener.in/company/AUBANK/
LTF,L&T Finance Ltd,https://www.screener.in/company/LTF/consolidated/
SAIL,S A I L,https://www.screener.in/company/SAIL/consolidated/
NATIONALUM,Natl. Aluminium,https://www.screener.in/company/NATIONALUM/consolidated/
APARINDS,Apar Inds.,https://www.screener.in/company/APARINDS/consolidated/
FORTIS,Fortis Health.,https://www.screener.in/company/FORTIS/consolidated/
GLENMARK,Glenmark Pharma.,https://www.screener.in/company/GLENMARK/consolidated/
ASTERDM,Aster DM Quality,https://www.screener.in/company/ASTERDM/consolidated/
MAHABANK,Bank of Maha,https://www.screener.in/company/MAHABANK/consolidated/
RADICO,Radico Khaitan,https://www.screener.in/company/RADICO/consolidated/
WELCORP,Welspun Corp,https://www.screener.in/company/WELCORP/consolidated/
RBLBANK,RBL Bank,https://www.screener.in/company/RBLBANK/
ATHERENERG,Ather Energy,https://www.screener.in/company/ATHERENERG/
MFSL,Max Financial,https://www.screener.in/company/MFSL/consolidated/
HINDCOPPER,Hindustan Copper,https://www.screener.in/company/HINDCOPPER/
M&MFIN,M & M Fin. Serv.,https://www.screener.in/company/M&MFIN/consolidated/
KEI,KEI Industries,https://www.screener.in/company/KEI/consolidated/
UPL,UPL,https://www.screener.in/company/UPL/consolidated/
THERMAX,Thermax,https://www.screener.in/company/THERMAX/consolidated/
NAVINFLUOR,Navin Fluo.Intl.,https://www.screener.in/company/NAVINFLUOR/consolidated/
NH,Narayana Hrudaya,https://www.screener.in/company/NH/consolidated/
NLCINDIA,NLC India,https://www.screener.in/company/NLCINDIA/consolidated/
ANANDRATHI,Anand Rathi Wea.,https://www.screener.in/company/ANANDRATHI/
HFCL,HFCL,https://www.screener.in/company/HFCL/consolidated/
MANAPPURAM,Manappuram Fin.,https://www.screener.in/company/MANAPPURAM/consolidated/
KARURVYSYA,Karur Vysya Bank,https://www.screener.in/company/KARURVYSYA/
RRKABEL,R R Kabel,https://www.screener.in/company/RRKABEL/consolidated/
PTCIL,PTC Industries,https://www.screener.in/company/PTCIL/consolidated/
SAILIFE,Sai Life,https://www.screener.in/company/SAILIFE/consolidated/
KIRLOSENG,Kirloskar Oil,https://www.screener.in/company/KIRLOSENG/consolidated/
SYRMA,Syrma SGS Tech.,https://www.screener.in/company/SYRMA/consolidated/
SCHNEIDER,Schneider Elect.,https://www.screener.in/company/SCHNEIDER/
IIFL,IIFL Finance,https://www.screener.in/company/IIFL/consolidated/
CRAFTSMAN,Craftsman Auto,https://www.screener.in/company/CRAFTSMAN/consolidated/
ACUTAAS,Acutaas Chemical,https://www.screener.in/company/ACUTAAS/consolidated/
ASAHIINDIA,Asahi India Glas,https://www.screener.in/company/ASAHIINDIA/consolidated/
FORCEMOT,Force Motors,https://www.screener.in/company/FORCEMOT/consolidated/
CUB,City Union Bank,https://www.screener.in/company/CUB/
BELRISE,Belrise Industri,https://www.screener.in/company/BELRISE/
GRANULES,Granules India,https://www.screener.in/company/GRANULES/consolidated/
FINCABLES,Finolex Cables,https://www.screener.in/company/FINCABLES/consolidated/
GESHIP,GE Shipping Co,https://www.screener.in/company/GESHIP/consolidated/
HBLENGINE,HBL Engineering,https://www.screener.in/company/HBLENGINE/consolidated/
GMDCLTD,G M D C,https://www.screener.in/company/GMDCLTD/consolidated/
CHOICEIN,Choice Intl.,https://www.screener.in/company/CHOICEIN/consolidated/
HONASA,Honasa Consumer,https://www.screener.in/company/HONASA/consolidated/
