ticker,name,url
RELIANCE,Reliance Industries,https://www.screener.in/company/RELIANCE/consolidated/
BHARTIARTL,Bharti Airtel,https://www.screener.in/company/BHARTIARTL/consolidated/
HDFCBANK,HDFC Bank,https://www.screener.in/company/HDFCBANK/consolidated/
ICICIBANK,ICICI Bank,https://www.screener.in/company/ICICIBANK/consolidated/
SBIN,SBI,https://www.screener.in/company/SBIN/consolidated/
TCS,TCS,https://www.screener.in/company/TCS/consolidated/
BAJFINANCE,Bajaj Finance,https://www.screener.in/company/BAJFINANCE/consolidated/
LT,Larsen & Toubro,https://www.screener.in/company/LT/consolidated/
HINDUNILVR,Hind. Unilever,https://www.screener.in/company/HINDUNILVR/consolidated/
SUNPHARMA,Sun Pharma.Inds.,https://www.screener.in/company/SUNPHARMA/consolidated/
INFY,Infosys,https://www.screener.in/company/INFY/consolidated/
TITAN,Titan Company,https://www.screener.in/company/TITAN/consolidated/
MARUTI,Maruti Suzuki,https://www.screener.in/company/MARUTI/consolidated/
M&M,M & M,https://www.screener.in/company/M&M/consolidated/
ADANIENT,Adani Enterp.,https://www.screener.in/company/ADANIENT/consolidated/
KOTAKBANK,Kotak Mah. Bank,https://www.screener.in/company/KOTAKBANK/consolidated/
ADANIPORTS,Adani Ports,https://www.screener.in/company/ADANIPORTS/consolidated/
AXISBANK,Axis Bank,https://www.screener.in/company/AXISBANK/consolidated/
HCLTECH,HCL Technologies,https://www.screener.in/company/HCLTECH/consolidated/
ULTRACEMCO,UltraTech Cem.,https://www.screener.in/company/ULTRACEMCO/consolidated/
ITC,ITC,https://www.screener.in/company/ITC/consolidated/
JSWSTEEL,JSW Steel,https://www.screener.in/company/JSWSTEEL/consolidated/
NTPC,NTPC,https://www.screener.in/company/NTPC/consolidated/
BAJAJFINSV,Bajaj Finserv,https://www.screener.in/company/BAJAJFINSV/consolidated/
BAJAJ-AUTO,Bajaj Auto,https://www.screener.in/company/BAJAJ-AUTO/consolidated/
ETERNAL,Eternal,https://www.screener.in/company/ETERNAL/consolidated/
BEL,Bharat Electron,https://www.screener.in/company/BEL/consolidated/
ONGC,O N G C,https://www.screener.in/company/ONGC/consolidated/
NESTLEIND,Nestle India,https://www.screener.in/company/NESTLEIND/
SHRIRAMFIN,Shriram Finance,https://www.screener.in/company/SHRIRAMFIN/consolidated/
ASIANPAINT,Asian Paints,https://www.screener.in/company/ASIANPAINT/consolidated/
COALINDIA,Coal India,https://www.screener.in/company/COALINDIA/consolidated/
POWERGRID,Power Grid Corpn,https://www.screener.in/company/POWERGRID/consolidated/
HINDALCO,Hindalco Inds.,https://www.screener.in/company/HINDALCO/consolidated/
TATASTEEL,Tata Steel,https://www.screener.in/company/TATASTEEL/consolidated/
GRASIM,Grasim Inds,https://www.screener.in/company/GRASIM/consolidated/
EICHERMOT,Eicher Motors,https://www.screener.in/company/EICHERMOT/consolidated/
INDIGO,Interglobe Aviat,https://www.screener.in/company/INDIGO/consolidated/
SBILIFE,SBI Life Insuran,https://www.screener.in/company/SBILIFE/
WIPRO,Wipro,https://www.screener.in/company/WIPRO/consolidated/
JIOFIN,Jio Financial,https://www.screener.in/company/JIOFIN/consolidated/
TRENT,Trent,https://www.screener.in/company/TRENT/consolidated/
TECHM,Tech Mahindra,https://www.screener.in/company/TECHM/consolidated/
APOLLOHOSP,Apollo Hospitals,https://www.screener.in/company/APOLLOHOSP/consolidated/
HDFCLIFE,HDFC Life Insur.,https://www.screener.in/company/HDFCLIFE/consolidated/
TMPV,Tata Motors PVeh,https://www.screener.in/company/TMPV/consolidated/
CIPLA,Cipla,https://www.screener.in/company/CIPLA/consolidated/
TATACONSUM,Tata Consumer,https://www.screener.in/company/TATACONSUM/consolidated/
DRREDDY,Dr Reddy's Labs,https://www.screener.in/company/DRREDDY/consolidated/
MAXHEALTH,Max Healthcare,https://www.screener.in/company/MAXHEALTH/consolidated/
