Ticker,Company Name,Book Value,Current Price,Debt to Equity,Dividend Yield,EPS (ttm),EV/EBITDA,Face Value,High / Low,Industry,Industry P/E,Market Cap,Price to Sales,Profit Growth,Promoter Holding,ROCE,ROE,ROE (3yr avg),Sales Growth,Sector,Stock P/E,URL
RELIANCE,Reliance Industries Ltd,668,"1,298",,0.46,,,10.0,"1,612",Refineries & Marketing,,"17,62,411",,,,10.3,8.91,,,Energy,23.6,https://www.screener.in/company/RELIANCE/consolidated/
BHARTIARTL,Bharti Airtel Ltd,245,"1,902",,1.26,,,5.00,"2,175",Telecom - Cellular & Fixed line services,,"11,90,062",,,,17.6,20.3,,,Telecommunication,38.1,https://www.screener.in/company/BHARTIARTL/consolidated/
HDFCBANK,HDFC Bank Ltd,390,727,,1.79,,,1.00,"1,020",Private Sector Bank,,"11,22,085",,,,7.02,13.6,,,Financial Services,14.2,https://www.screener.in/company/HDFCBANK/consolidated/
ICICIBANK,ICICI Bank Ltd,527,"1,430",,0.84,,,2.00,"1,480",Private Sector Bank,,"10,26,034",,,,7.18,15.9,,,Financial Services,18.3,https://www.screener.in/company/ICICIBANK/consolidated/
SBIN,State Bank of India,674,"1,052",,1.65,,,1.00,"1,235",Public Sector Bank,,"9,71,988",,,,6.13,15.4,,,Financial Services,11.6,https://www.screener.in/company/SBIN/consolidated/
TCS,Tata Consultancy Services Ltd,296,"2,270",,2.82,,,1.00,"3,350",Computers - Software & Consulting,,"8,23,170",,,,63.0,51.8,,,Information Technology,15.3,https://www.screener.in/company/TCS/consolidated/
BAJFINANCE,Bajaj Finance Ltd,183,"1,085",,0.50,,,1.00,"1,178",Non Banking Financial Company (NBFC),,"6,79,484",,,,10.9,18.2,,,Financial Services,33.2,https://www.screener.in/company/BAJFINANCE/consolidated/
LT,Larsen & Toubro Ltd,794,"4,038",,0.94,,,2.00,"4,440",Civil Construction,,"5,55,939",,,,14.6,15.9,,,Industrials,31.6,https://www.screener.in/company/LT/consolidated/
HINDUNILVR,Hindustan Unilever Ltd,207,"2,021",,2.03,,,1.00,"2,660",Diversified FMCG,,"4,74,899",,,,28.4,31.0,,,Fast Moving Consumer Goods,43.1,https://www.screener.in/company/HINDUNILVR/consolidated/
SUNPHARMA,Sun Pharmaceutical Industries Ltd,348,"1,900",,0.84,,,1.00,"2,048",Pharmaceuticals,,"4,56,942",,,,20.5,16.0,,,Healthcare,36.2,https://www.screener.in/company/SUNPHARMA/consolidated/
