ticker,name,url
ASTERDM,Aster DM Quality,https://www.screener.in/company/ASTERDM/consolidated/
WELCORP,Welspun Corp,https://www.screener.in/company/WELCORP/consolidated/
RBLBANK,RBL Bank,https://www.screener.in/company/RBLBANK/
HINDCOPPER,Hindustan Copper,https://www.screener.in/company/HINDCOPPER/
PIRAMALFIN,Piramal Finance.,https://www.screener.in/company/PIRAMALFIN/consolidated/
SONACOMS,Sona BLW Precis.,https://www.screener.in/company/SONACOMS/
GLAND,Gland Pharma,https://www.screener.in/company/GLAND/consolidated/
AEGISLOG,Aegis Logistics,https://www.screener.in/company/AEGISLOG/consolidated/
NAVINFLUOR,Navin Fluo.Intl.,https://www.screener.in/company/NAVINFLUOR/consolidated/
POONAWALLA,Poonawalla Fin,https://www.screener.in/company/POONAWALLA/consolidated/
NH,Narayana Hrudaya,https://www.screener.in/company/NH/consolidated/
ANANDRATHI,Anand Rathi Wea.,https://www.screener.in/company/ANANDRATHI/
MANAPPURAM,Manappuram Fin.,https://www.screener.in/company/MANAPPURAM/consolidated/
KARURVYSYA,Karur Vysya Bank,https://www.screener.in/company/KARURVYSYA/
DELHIVERY,Delhivery,https://www.screener.in/company/DELHIVERY/consolidated/
HSCL,Himadri Special,https://www.screener.in/company/HSCL/consolidated/
LALPATHLAB,Dr Lal Pathlabs,https://www.screener.in/company/LALPATHLAB/consolidated/
TATATECH,Tata Technolog.,https://www.screener.in/company/TATATECH/consolidated/
SAILIFE,Sai Life,https://www.screener.in/company/SAILIFE/consolidated/
PNBHOUSING,PNB Housing,https://www.screener.in/company/PNBHOUSING/
WOCKPHARMA,Wockhardt,https://www.screener.in/company/WOCKPHARMA/consolidated/
NEULANDLAB,Neuland Labs.,https://www.screener.in/company/NEULANDLAB/consolidated/
CDSL,C D S L,https://www.screener.in/company/CDSL/consolidated/
CHOLAHLDNG,Chola Financial,https://www.screener.in/company/CHOLAHLDNG/consolidated/
PPLPHARMA,Piramal Pharma,https://www.screener.in/company/PPLPHARMA/consolidated/
BANDHANBNK,Bandhan Bank,https://www.screener.in/company/BANDHANBNK/
IIFL,IIFL Finance,https://www.screener.in/company/IIFL/consolidated/
REDINGTON,Redington,https://www.screener.in/company/REDINGTON/consolidated/
ANGELONE,Angel One,https://www.screener.in/company/ANGELONE/consolidated/
KAYNES,Kaynes Tech,https://www.screener.in/company/KAYNES/consolidated/
AMBER,Amber Enterp.,https://www.screener.in/company/AMBER/consolidated/
NBCC,NBCC,https://www.screener.in/company/NBCC/consolidated/
AFFLE,Affle 3i,https://www.screener.in/company/AFFLE/consolidated/
CUB,City Union Bank,https://www.screener.in/company/CUB/
IGL,Indraprastha Gas,https://www.screener.in/company/IGL/consolidated/
CESC,CESC,https://www.screener.in/company/CESC/consolidated/
CAMS,Cams Services,https://www.screener.in/company/CAMS/
CASTROLIND,Castrol India,https://www.screener.in/company/CASTROLIND/
COHANCE,Cohance Life,https://www.screener.in/company/COHANCE/consolidated/
PGEL,PG Electroplast,https://www.screener.in/company/PGEL/consolidated/
KFINTECH,KFin Technolog.,https://www.screener.in/company/KFINTECH/consolidated/
ARE&M,Amara Raja Ener.,https://www.screener.in/company/ARE&M/
SYNGENE,Syngene Intl.,https://www.screener.in/company/SYNGENE/consolidated/
TATACHEM,Tata Chemicals,https://www.screener.in/company/TATACHEM/consolidated/
NATCOPHARM,Natco Pharma,https://www.screener.in/company/NATCOPHARM/consolidated/
CROMPTON,Crompton Gr. Con,https://www.screener.in/company/CROMPTON/
FIVESTAR,Five-Star Bus.Fi,https://www.screener.in/company/FIVESTAR/
INOXWIND,Inox Wind,https://www.screener.in/company/INOXWIND/consolidated/
KEC,KEC International,https://www.screener.in/company/KEC/consolidated/
RPOWER,Reliance Power,https://www.screener.in/company/RPOWER/consolidated/
